uf;sigla_regional;nome_regional;cidade_polo;municipio
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Adrianópolis
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Almirante Tamandaré
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Araucária
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Balsa Nova
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Bocaiúva do Sul
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Campina Grande do Sul
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Campo Largo
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Campo Magro
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Cerro Azul
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Colombo
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Contenda
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Curitiba
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Doutor Ulysses
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Fazenda Rio Grande
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Itaperuçu
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Lapa
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Mandirituba
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Pinhais
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Piraquara
PR;ASSOMEC;Associação dos Municípios da Região Metropolitana de Curitiba;Curitiba;Quatro Barras
